ccn,hospital_name,state,old_finding,status,website,pointer,identity,file_access,metadata,pointer_url,mrf_url,date,version,source_page,checked_at
231316,HILLS & DALES GENERAL HOSPITAL,MI,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://aspirerhs.org/cms-hpt.txt,https://aspirerhs.org/wp-content/uploads/2024/07/381619577_hills-and-dales-general-hospital_standardcharges.csv,2025-01-01,2.0.0,https://aspirerhs.org/billing/,2026-09-09T01:48:57.003Z
231330,MARLETTE REGIONAL HOSPITAL,MI,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://aspirerhs.org/cms-hpt.txt,https://aspirerhs.org/wp-content/uploads/2024/07/381507302_marlette-regional-hospital_standardcharges.csv,2025-01-25,2.0.0,https://aspirerhs.org/billing/,2026-09-09T01:48:57.012Z
231314,MCKENZIE HEALTH SYSTEM,MI,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.mckenziehealth.org/cms-hpt.txt,https://www.mckenziehealth.org/documents/content/standard%20charges/381738615_McKenzie-Memorial-Hospital_standardcharges.csv,2025-05-31,2.0.0,https://www.mckenziehealth.org/patients-visitors/billing-insurance/,2026-09-09T01:48:57.052Z
241308,ASPIRUS LAKE VIEW HOSPITAL,MN,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.aspirus.org/cms-hpt.txt,https://www.aspirus.org/Uploads/Public/Documents/PriceEstimate/TransparencyFY26/410786046_aspirus-lake-view-hospital_standardcharges.json,2025-07-01,2.2.0,https://www.aspirus.org/price-estimate,2026-09-09T01:49:08.320Z
240047,ST LUKES HOSPITAL,MN,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.aspirus.org/cms-hpt.txt,https://www.aspirus.org/Uploads/Public/Documents/PriceEstimate/TransparencyFY26/410714079_aspirus-st-lukes-hospital_standardcharges.json,2025-07-01,2.2.0,https://www.aspirus.org/price-estimate,2026-09-09T01:49:09.093Z
260061,NEVADA REGIONAL MEDICAL CENTER,MO,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://irp.cdn-website.com/5b92682e/files/uploaded/cms-hpt-4ab8d9db.txt,https://www.nrmchealth.com/pricing-transparency-mrf-url,2025-01-14,2.0.0,https://www.nrmchealth.com/pricing-transparency,2026-09-09T01:49:09.630Z
261307,PERSHING MEMORIAL HOSPITAL,MO,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://phsmo.org/cms-hpt.txt,https://hospitalpricetransparencyfiles.com/general-john-j-pershing-memorial-hospital-association/430715842_General-John-J-Pershing-Memorial-Hospital-Association_standardcharges.csv,2025-06-13,3.0.0,https://www.ezcost.info/pershing-memorial-hospital,2026-09-09T01:49:09.772Z
260097,WESTERN MISSOURI MEDICAL CENTER,MO,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://wmmc.com/cms-hpt.txt,https://wmmc.com/wp-content/uploads/2024/11/440665266_western-missouri-medical-center_standardcharges.csv,2024-12-01,2.2.0,https://wmmc.com/price-transparency/,2026-09-09T01:49:09.923Z
250124,MAGEE GENERAL HOSPITAL,MS,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://mghosp.org/cms-hpt.txt,https://mghosp.org/wp-content/uploads/2025/01/640324402_magee-benevolent-association_standardcharges.csv,2024-12-26,2.0.0,https://mghosp.org/price-transparency/,2026-09-09T01:49:10.398Z
251337,TIPPAH COUNTY HOSPITAL,MS,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://tippahcountyhospital.com/cms-hpt.txt,https://www.tippahcountyhospital.com/assets/Uploads/646001350_tippah-county-hospital_standardcharges.csv?vid=3,2025-07-29,2.0.0,https://www.tippahcountyhospital.com/patients-and-visitors/pricing-transparency,2026-09-09T01:49:10.665Z
