ccn,hospital_name,address,city,state,zip,phone,type,seeded_domain,pointer_status,remediation,reason,exa_query,resolved_domain
400134,THE SAN JORGE HOSPITAL INC,258 SAN JORGE STREET,SAN JUAN,PR,00912,hpt-obf:v1:npDqOmM92chzb8-c.BHrYKBE7ZqHAIX495YsE7g.1wmH7MbS4HRUl2fb6OE,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,THE SAN JORGE HOSPITAL INC hospital SAN JUAN PR official website,
400135,HOSPITAL  CENTRO COMPRENSIVO DEL CANCER,PR21 INT PR 18   BO MONACILLOS URBANO,SAN JUAN,PR,00927,hpt-obf:v1:eFI7jI36OJ4q7B1i.H4Ye9gVQjEHZRZzG-MkQSA.2Plg_Cl2EdF-ec1m8Rc,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,HOSPITAL  CENTRO COMPRENSIVO DEL CANCER hospital SAN JUAN PR official website,
400137,DOCTORS CENTER HOSPITAL ORLANDO HEALTH DORADO,900 CARRETERA 696,DORADO,PR,00646,hpt-obf:v1:K6RzJ-gbdShpzcCF.gMIa2jUxcrUFoyLqWl9U4g.heGuYwnqAK0_pOK8t3M,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,DOCTORS CENTER HOSPITAL ORLANDO HEALTH DORADO hospital DORADO PR official website,
400138,PUERTO RICO WOMEN AND CHILDREN HOSPITAL LLC,CARR PR-2 KM11 6 INTERIOR ALEDANO HOSPITAL HERMANO,BAYAMON,PR,00959,hpt-obf:v1:7lPG0frZfp2qlERO.YzLzhdzUMW_geDotiV5SzA.dlwcjxWD3fvpaLuZtxk,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,PUERTO RICO WOMEN AND CHILDREN HOSPITAL LLC hospital BAYAMON PR official website,
400139,HOSPITAL EPISCOPAL  SAN LUCAS METRO,CARR 844 KM 0 5 CUPEY,SAN JUAN,PR,00928,hpt-obf:v1:3NSMwP-S7cMAomZ-.YaYQlJnI2bPtR6RQB_0xTw.NNP589XeAUmq2ASm9ZE,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,HOSPITAL EPISCOPAL  SAN LUCAS METRO hospital SAN JUAN PR official website,
400141,CENTRO MEDICO DEL NORESTE,404 AVE GENERAL VALERO,FAJARDO,PR,00738,hpt-obf:v1:HOQQ8HCLwpsxh8Ep.j3CKie4tthO9Jr24t8Im3w.8TDVNA7UJYRN0njFQQ8,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,CENTRO MEDICO DEL NORESTE hospital FAJARDO PR official website,
403301,UNIVERSITY PEDIATRIC HOSPITAL,PUERTO RICO MEDICAL CENTER IN RIO PIEDRAS,SAN JUAN,PR,00935,hpt-obf:v1:m31k6qBF9IPC9h8e.blqdSHV-aZ5bWLIG5QNAuw.SytJNW6j4MdjY_es0qc,Childrens,,no-domain,exa-domain-lookup,no domain in the seed dataset,UNIVERSITY PEDIATRIC HOSPITAL hospital SAN JUAN PR official website,
404004,FIRST HOSPITAL PANAMERICANO,CARR ESTATAL NUM 787 KM 1 5,CIDRA,PR,00739,hpt-obf:v1:62VhdnCzQgoVuD-7.irfTsv4Gr8XZF97pDSbj9A.NC_VioI8wZ-dp05GCks,Psychiatric,,no-domain,exa-domain-lookup,no domain in the seed dataset,FIRST HOSPITAL PANAMERICANO hospital CIDRA PR official website,
404005,SAN JUAN CAPESTRANO  HOSPITAL INC,CARR 877 KM 1 6 CAMINO LAS LOMAS,RIO PIEDRAS,PR,00928,hpt-obf:v1:50injatWZDETmI9A.sB9ZscOjt3TuIbqs4VFpoA.eCzt9mnc9P2yn8hA0ag,Psychiatric,,no-domain,exa-domain-lookup,no domain in the seed dataset,SAN JUAN CAPESTRANO  HOSPITAL INC hospital RIO PIEDRAS PR official website,
404007,HOSPITAL METROPOLITANO  PSIQUIATRICO DE CABO ROJO,108 MUNOZ RIVERA STREET,CABO ROJO,PR,00623,hpt-obf:v1:Y4Ohb3CMJ4C6ZWs9.Ja1mXfiZu63zahbG1sIEvA.MUH6cnff8TQSQJN-Hk8,Psychiatric,hospitalmetrocaborojo.com,html,exa-domain-lookup,pointer fetch failed (html); domain is likely wrong or stale,HOSPITAL METROPOLITANO  PSIQUIATRICO DE CABO ROJO hospital CABO ROJO PR official website,
410004,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,PROVIDENCE,RI,02908,hpt-obf:v1:EyK962gl0gp6NaOT.MnBoovkogBqyxqwA3goAVA.1iio54_Hf9NuDyy-0-A,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,ROGER WILLIAMS MEDICAL CENTER hospital PROVIDENCE RI official website,
410005,OUR LADY OF FATIMA HOSPITAL,200 HIGH SERVICE AVENUE,NORTH PROVIDENCE,RI,02904,hpt-obf:v1:gO4WoXzsuOftN4ZH.CRZCQaZ-F1zZwhOFLlentQ.BsUqT7IKQWnsavo6vC8,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,OUR LADY OF FATIMA HOSPITAL hospital NORTH PROVIDENCE RI official website,
410013,WESTERLY HOSPITAL,25 WELLS STREET,WESTERLY,RI,02891,hpt-obf:v1:CroUOItj--Q82fdL.1uVp0oqZ8xCEBSeX0fzgVA.XX44hO4Z656dDRCzwaU,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,WESTERLY HOSPITAL hospital WESTERLY RI official website,
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE,RI,02908,hpt-obf:v1:LjgrlIYcz4ivCL1R.6Ixi_PsWZMnL0EB9vsGZsg.SnksKtqAA_g4xuCjcJU,Acute Care - Veterans Administration,,no-domain,exempt-federal,federally owned; outside 45 CFR 180,,
